2025-09-13 19:35:23,976 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2355), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,976 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2357), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,977 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2358), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,977 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2359), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,978 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=11505), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,978 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=11506), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,979 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=11507), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,980 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2360), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,981 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2361), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,982 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2362), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,983 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2363), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,984 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=2364), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,985 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=11292), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,985 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=11426), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,988 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=11427), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,989 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=11428), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:23,989 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=11429), requested parent node is null TwoByteNodeId(i=0) True
2025-09-13 19:35:24,065 INFO opcua.server.internal_server: Created internal session Internal
2025-09-13 19:35:24,067 WARNING opcua.server.server: Endpoints other than open requested but private key and certificate are not set.
2025-09-13 19:35:24,068 INFO opcua.server.internal_server: starting internal server
2025-09-13 19:35:24,071 WARNING opcua.server.binary_server_asyncio: Listening on 127.0.0.1:4841
2025-09-13 19:35:24,071 INFO opc_project.opcua_server: Arranque servidor en opc.tcp://127.0.0.1:4841 exitoso
2025-09-13 19:35:39,915 INFO opcua.server.binary_server_asyncio: Closing asyncio socket server
2025-09-13 19:35:39,918 INFO opcua.server.internal_server: stopping internal server
2025-09-13 19:35:39,919 INFO opcua.server.internal_server: close session InternalSession(name:Internal, user:User.Admin, id:NumericNodeId(i=10), auth_token:NumericNodeId(i=1000)) with subscriptions []
2025-09-13 19:35:39,921 INFO opcua.server.subscription_service: delete subscriptions: []
2025-09-13 19:35:39,924 INFO opc_project.opcua_server: Servidor detenido en opc.tcp://127.0.0.1:4841
2025-09-20 09:58:45,786 INFO opc_project.opcua_server: Arrancando OpcServer v0.1.0 en opc.tcp://127.0.0.1:4841
2025-09-20 09:58:45,798 INFO opcua.server.address_space: add_node: while adding node NumericNodeId(i=3062), requested parent node is null TwoByteNodeId(i=0) True
